Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,BoilGravityMod
6203,26.5,1.053,1.014,5.1,55.35,4.98,36.91,60,72.0,1.5,Specific Gravity,All Grain,0.35,18.89,1.044
6204,20.82,1.0490000000000002,1.011,5.05,19.81,5.07,22.71,60,78.0,1.5,Specific Gravity,All Grain,0.5,16.67,1.043
6205,4.0,1.079,1.017,8.15,132.5,24.69,7.0,40,75.0,,Specific Gravity,BIAB,,18.0,1.098
6206,650.0,1.062,1.016,6.08,20.94,17.99,670.0,60,75.0,2.5,Specific Gravity,All Grain,,,1.3286333398552141
6207,20.82,1.05,1.012,4.89,35.73,8.24,28.39,60,65.0,1.5,Specific Gravity,All Grain,,,1.05
6208,18.93,1.075,1.017,7.66,32.18,4.94,27.44,90,73.0,1.75,Specific Gravity,All Grain,,,1.04
6209,20.82,1.052,1.013,5.11,0.0,24.56,28.39,60,75.0,1.5,Specific Gravity,All Grain,,,1.047
6210,8.52,1.038,1.01,3.78,0.0,6.61,3.79,60,35.0,,Specific Gravity,extract,,,1.07
6211,21.5,1.054,1.01,5.79,35.92,10.72,26.0,60,76.0,3.5,Specific Gravity,All Grain,,19.0,1.071
6212,359.61,1.043,1.011,4.21,0.0,7.35,378.54,60,70.0,1.5,Specific Gravity,All Grain,,,1.048
6213,408.82,1.048,1.012,4.76,27.28,6.68,473.18,60,68.0,1.5,Specific Gravity,All Grain,,,1.052
6214,20.82,1.103,1.024,10.39,40.67,7.67,28.39,60,70.0,1.25,Specific Gravity,All Grain,0.75,21.11,1.036
6215,18.93,1.073,1.02,7.0,0.0,5.11,28.39,60,70.0,1.0,Specific Gravity,All Grain,,,1.0490000000000002
6216,13.25,1.044,1.006,5.05,18.8,3.03,13.25,60,70.0,2.0,Specific Gravity,All Grain,,21.11,1.06
6217,18.93,1.06,1.012,6.36,50.35,6.3,25.55,60,68.0,,Specific Gravity,BIAB,,18.89,1.046
6218,20.82,1.0490000000000002,1.012,4.93,23.38,15.4,28.39,60,75.0,1.5,Specific Gravity,All Grain,0.5,18.89,1.052
6219,20.82,1.069,1.017,6.81,75.48,23.21,26.5,60,35.0,,Specific Gravity,extract,1.0,21.11,1.038
6220,24.61,1.055,1.016,5.2,28.85,3.23,30.28,90,70.0,1.5,Specific Gravity,All Grain,1.0,23.89,1.0490000000000002
6221,22.71,1.046,1.011,4.56,19.24,3.38,22.71,60,70.0,1.25,Specific Gravity,All Grain,,,1.04
6222,18.93,1.052,1.013,5.13,26.57,6.21,28.39,60,35.0,,Specific Gravity,BIAB,,,1.043
6223,22.71,1.065,1.011,7.07,84.15,5.63,17.03,90,68.0,,Specific Gravity,Partial Mash,0.5,22.22,1.041
6224,22.0,1.053,1.01,5.66,59.57,6.85,25.0,90,35.0,,Specific Gravity,Partial Mash,,20.0,1.032
6225,18.93,1.045,1.011,4.42,28.27,18.68,7.57,60,75.0,,Specific Gravity,All Grain,,21.11,1.041
6226,17.0,1.065,1.011,7.15,60.21,6.4,22.0,60,70.0,2.5,Specific Gravity,All Grain,0.75,18.0,1.046
6227,25.0,1.0490000000000002,1.012,4.84,0.0,2.85,33.0,60,80.0,2.5,Specific Gravity,All Grain,,,1.051
6228,45.42,1.071,1.009,8.05,58.14,6.93,56.4,90,80.0,1.25,Specific Gravity,All Grain,1.0,18.89,1.039
6229,22.71,1.046,1.009,4.92,53.22,7.03,30.28,60,70.0,1.5,Specific Gravity,All Grain,,18.33,1.04
6230,23.0,1.061,1.016,5.88,26.8,21.0,32.0,60,70.0,3.0,Specific Gravity,All Grain,0.35,20.0,1.099
6231,30.0,1.042,1.008,4.5,18.95,5.37,40.0,60,70.0,1.5,Specific Gravity,All Grain,,,1.056
6232,18.93,1.061,1.011,6.59,25.03,6.74,22.71,60,65.0,1.0,Specific Gravity,All Grain,0.35,21.11,1.039
6233,81.39,1.052,1.011,5.41,26.91,3.95,51.1,90,80.0,,Specific Gravity,All Grain,0.75,21.11,1.091
6234,18.93,1.058,1.011,6.19,187.8,9.12,22.71,60,90.0,,Specific Gravity,extract,0.35,18.33,1.045
6235,20.82,1.048,1.012,4.72,22.73,4.26,13.25,60,35.0,,Specific Gravity,extract,,,1.044
6236,25.0,1.052,1.004,6.38,25.37,5.78,28.5,60,70.0,,Specific Gravity,BIAB,0.75,30.0,1.051
6237,50.0,1.065,1.018,6.17,56.23,19.08,60.0,90,80.0,3.0,Specific Gravity,All Grain,0.75,18.0,1.056
6238,18.93,1.053,1.013,5.2,56.71,5.56,20.82,30,35.0,,Specific Gravity,extract,,,1.043
6239,20.82,1.054,1.014,5.24,40.87,8.3,28.39,60,75.0,,Specific Gravity,BIAB,,18.33,1.038
6240,11.36,1.079,1.024,7.23,37.17,38.27,17.03,60,69.0,,Specific Gravity,BIAB,0.5,23.33,1.038
6241,20.0,1.062,1.015,6.51,83.13,7.57,27.0,85,67.0,3.7,Specific Gravity,All Grain,1.0,16.0,1.037
6242,16.0,1.055,1.011,5.9,46.03,6.12,20.0,60,70.0,,Specific Gravity,BIAB,1.0,20.0,1.105
6243,11.36,1.097,1.033,8.43,23.53,46.61,15.14,60,60.0,1.5,Specific Gravity,All Grain,,18.33,1.057
6244,20.82,1.053,1.01,5.61,33.91,5.25,27.56,60,76.0,,Specific Gravity,BIAB,0.75,22.22,14.0
6245,21.0,1.071,1.015,7.42,88.67,11.66,27.0,60,75.0,,Specific Gravity,BIAB,,20.0,1.045
6246,22.71,1.061,1.009,6.82,0.0,5.24,24.61,60,70.0,1.96,Specific Gravity,All Grain,,,1.054
6247,37.85,1.06,1.015,5.91,35.4,7.26,45.42,60,76.0,1.5,Specific Gravity,All Grain,,,1.028
6248,22.71,1.069,1.007,8.18,74.56,6.03,26.5,60,68.0,1.3,Specific Gravity,All Grain,,,1.062
6249,3.79,1.048,1.011,4.83,35.38,12.87,6.81,60,68.0,,Specific Gravity,BIAB,0.5,18.33,1.045
6250,25.0,1.039,1.008,4.09,15.74,3.41,28.5,60,50.0,1.5,Specific Gravity,All Grain,,,1.051
6251,41.64,1.057,1.015,5.54,32.65,14.22,49.21,60,75.0,,Specific Gravity,BIAB,,,1.038
6252,21.0,1.053,1.012,5.39,50.25,4.8,25.0,70,80.0,,Specific Gravity,BIAB,0.75,19.0,1.052
6253,41.64,1.047,1.009,4.95,46.85,4.91,49.21,60,70.0,,Specific Gravity,BIAB,,20.0,1.051
6254,20.82,1.098,1.022,9.94,0.0,6.64,28.39,60,85.0,4.0,Specific Gravity,All Grain,,,1.031
6255,20.82,1.04,1.01,4.02,16.82,4.41,9.46,60,35.0,,Specific Gravity,extract,,22.22,1.05
6256,20.82,1.046,1.011,4.67,52.18,13.24,11.36,60,75.0,,Specific Gravity,Partial Mash,,,1.028
6257,20.0,1.051,1.012,5.22,44.95,13.78,25.0,60,70.0,3.0,Specific Gravity,All Grain,1.0,19.0,1.036
6258,68.0,1.045,1.007,4.86,45.26,3.83,81.0,60,82.0,3.0,Specific Gravity,All Grain,,20.0,1.056
6259,62.0,1.04,1.009,4.03,32.8,5.92,75.0,60,80.0,3.0,Specific Gravity,All Grain,0.35,19.0,1.033
6260,20.0,1.047,1.009,4.98,36.36,5.49,28.0,60,70.0,,Specific Gravity,BIAB,1.5,13.0,1.05
6261,11.36,1.053,1.013,5.26,49.94,10.84,17.03,60,70.0,,Specific Gravity,Partial Mash,,,1.062
6262,9.46,1.058,1.009,6.4,31.91,3.55,10.41,30,79.0,1.25,Specific Gravity,All Grain,0.35,16.67,1.061
6263,20.82,1.061,1.018,5.65,51.0,7.44,28.39,60,70.0,1.5,Specific Gravity,All Grain,1.0,20.0,1.036
6264,37.85,1.056,1.014,5.45,101.33,3.83,49.21,60,75.0,1.2,Specific Gravity,All Grain,,,1.041
6265,42.5,1.047,1.005,5.56,37.62,12.52,48.5,60,75.0,3.0,Specific Gravity,All Grain,0.35,20.0,1.061
6266,11.36,1.064,1.017,6.17,47.95,38.39,14.2,60,72.0,,Specific Gravity,All Grain,0.35,20.0,1.055
6267,22.0,1.063,1.014,6.34,45.21,4.46,26.5,60,72.0,,Specific Gravity,All Grain,,18.0,1.121
6268,13.0,1.045,1.009,4.69,31.19,7.56,18.0,60,87.0,,Specific Gravity,BIAB,,,1.041
6269,21.96,1.064,1.015,6.67,36.29,4.72,23.02,90,75.0,,Specific Gravity,BIAB,,,1.053
6270,19.87,1.0490000000000002,1.014,4.66,26.66,5.31,28.39,60,70.0,,Specific Gravity,BIAB,0.35,18.33,1.048
6271,41.64,1.0659999999999998,1.016,6.6,66.73,4.91,51.1,60,72.0,1.5,Specific Gravity,All Grain,0.75,18.33,15.0
6272,11.36,1.0590000000000002,1.015,5.76,35.35,24.43,20.82,60,65.0,1.5,Specific Gravity,All Grain,,,1.033
6273,26.0,1.054,1.014,5.27,56.83,8.62,29.0,30,55.0,,Specific Gravity,All Grain,,19.0,1.045
6274,20.82,1.068,1.015,6.96,63.44,36.74,24.61,60,75.0,,Specific Gravity,BIAB,,20.0,1.055
6275,18.93,1.051,1.013,5.04,3.67,7.09,11.36,60,0.0,,Specific Gravity,extract,0.5,15.56,1.038
6276,19.31,1.055,1.005,6.6,0.0,8.2,23.81,60,62.0,,Specific Gravity,All Grain,,,1.051
6277,8.0,1.048,1.012,4.68,27.32,25.15,10.2,60,35.0,,Specific Gravity,extract,0.35,20.0,1.061
6278,22.71,1.064,1.018,6.07,123.58,5.86,26.5,60,70.0,1.3,Specific Gravity,All Grain,,21.11,1.06
6279,25.0,1.063,1.013,6.54,26.05,14.49,30.0,90,75.0,3.0,Specific Gravity,All Grain,1.0,20.0,1.036
6280,21.0,1.077,1.02,7.51,35.1,6.02,28.5,60,65.0,3.0,Specific Gravity,All Grain,,18.0,1.067
6281,22.5,1.071,1.018,6.95,23.51,6.23,32.0,80,70.0,,Specific Gravity,BIAB,0.5,18.0,1.038
6282,20.82,1.055,1.014,5.42,62.44,5.34,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.75,18.33,1.032
6283,59.62,1.073,1.022,6.76,45.42,10.24,65.3,75,75.0,,Specific Gravity,All Grain,,,1.039
6284,27.0,1.045,1.009,4.77,0.0,3.75,11.0,60,35.0,,Specific Gravity,extract,,24.0,1.119
6285,22.71,1.043,1.008,4.56,25.76,4.75,23.47,60,70.0,1.6,Specific Gravity,All Grain,,,1.048
6286,18.93,1.055,1.013,5.5,41.49,8.03,28.39,90,70.0,1.2,Specific Gravity,All Grain,0.35,19.44,1.057
6287,20.82,1.058,1.014,5.67,42.78,7.03,11.36,60,35.0,,Specific Gravity,extract,,,1.065
6288,16.0,1.046,1.011,4.56,38.27,13.52,21.0,60,65.0,,Specific Gravity,BIAB,,,1.037
6289,25.0,1.0490000000000002,1.012,4.92,37.4,11.07,27.0,60,65.0,,Specific Gravity,All Grain,,,1.05
6290,20.82,1.056,1.013,5.63,69.71,9.33,28.39,60,76.0,1.5,Specific Gravity,All Grain,0.75,,1.026
6291,20.82,1.065,1.018,6.18,68.01,15.25,28.39,60,80.0,1.5,Specific Gravity,All Grain,,,1.043
6292,23.0,1.058,1.011,6.17,34.84,5.63,27.0,75,73.0,9.0,Specific Gravity,All Grain,0.75,18.0,1.051
6293,18.93,1.056,1.011,5.97,48.49,11.27,22.71,60,35.0,1.5,Specific Gravity,All Grain,,18.33,1.039
6294,41.64,1.064,1.011,6.89,78.64,7.55,49.21,60,70.0,1.5,Specific Gravity,All Grain,0.35,20.0,1.03
6295,18.93,1.069,1.021,6.21,70.7,10.22,15.14,60,70.0,,Specific Gravity,Partial Mash,1.0,17.78,1.058
6296,20.82,1.046,1.012,4.51,14.06,3.37,28.39,70,72.0,1.25,Specific Gravity,All Grain,0.75,20.0,1.062
6297,10.0,1.065,1.013,6.85,70.95,15.13,12.0,90,72.0,3.0,Specific Gravity,All Grain,1.0,18.0,15.6
6298,21.5,1.0590000000000002,1.011,6.34,37.34,9.07,26.0,60,70.0,,Specific Gravity,BIAB,,17.0,1.058
6299,22.71,1.065,1.016,6.35,60.89,8.9,26.5,60,65.0,1.25,Specific Gravity,All Grain,,,1.065
6300,20.0,1.058,1.013,5.86,34.82,28.82,28.5,60,80.0,3.0,Specific Gravity,All Grain,,20.0,1.057
6301,18.93,1.064,1.011,7.0,55.5,6.36,26.5,60,70.0,1.5,Specific Gravity,All Grain,0.35,17.78,1.058
6302,18.93,1.071,1.017,7.16,116.32,9.04,23.47,60,72.0,1.25,Specific Gravity,All Grain,0.75,21.11,1.032
6303,20.82,1.002,1.0,0.15,0.0,1.58,28.39,60,70.0,,Specific Gravity,BIAB,,,1.058
6304,23.0,1.056,1.011,5.89,61.91,6.43,32.0,75,72.0,4.0,Specific Gravity,All Grain,,,1.042
6305,20.82,1.088,1.021,8.79,178.49,10.42,28.39,90,70.0,1.5,Specific Gravity,All Grain,1.25,18.33,1.054
6306,18.93,1.0490000000000002,1.011,4.98,50.0,7.48,27.44,90,64.0,,Specific Gravity,All Grain,,,1.119
6307,9.46,1.047,1.008,5.07,14.79,6.67,10.03,15,75.0,,Specific Gravity,BIAB,,,1.068
6308,11.36,1.0490000000000002,1.013,4.72,66.94,3.94,15.14,60,72.5,1.5,Specific Gravity,All Grain,,,1.04
6309,3.79,1.052,1.013,5.1,0.0,3.59,3.79,60,70.0,1.5,Specific Gravity,All Grain,,,1.052
6310,20.82,1.078,1.02,7.67,40.27,23.1,24.61,60,70.0,1.4,Specific Gravity,All Grain,1.25,,1.051
6311,23.0,1.061,1.017,5.77,49.78,17.14,28.0,60,78.0,,Specific Gravity,All Grain,,18.0,1.051
6312,20.82,1.078,1.022,7.37,168.42,11.94,29.34,60,70.0,1.5,Specific Gravity,All Grain,1.0,21.11,1.094
6313,20.82,1.06,1.014,6.09,116.18,7.73,28.39,60,63.0,1.26,Specific Gravity,All Grain,0.35,20.56,1.4894584221748401
6314,42.0,1.042,1.008,4.44,29.2,5.56,45.8,60,80.0,2.6,Specific Gravity,All Grain,,19.0,1.042
6315,18.93,1.071,1.017,7.1,27.26,6.68,11.36,60,70.0,,Specific Gravity,Partial Mash,,16.67,1.063
6316,302.83,1.075,1.019,7.38,68.43,4.71,416.4,60,70.0,,Specific Gravity,Partial Mash,,,1.063
6317,20.82,1.054,1.014,5.34,33.27,27.31,28.39,60,70.0,1.5,Specific Gravity,All Grain,,,1.048
6318,24.0,1.056,1.014,5.52,45.75,12.73,22.0,60,60.0,3.0,Specific Gravity,All Grain,,20.0,1.073
6319,20.82,1.05,1.01,5.2,48.99,19.96,28.39,60,70.0,1.25,Specific Gravity,All Grain,1.0,20.0,1.045
6320,20.82,1.057,1.016,5.41,49.12,5.91,11.36,60,35.0,,Specific Gravity,Partial Mash,0.35,,1.057
6321,11.36,1.061,1.016,5.96,71.54,11.96,15.14,60,60.0,1.5,Specific Gravity,All Grain,0.75,20.0,1.054
6322,20.82,1.056,1.014,5.57,18.89,5.75,28.39,90,65.0,1.5,Specific Gravity,All Grain,,20.0,1.05
6323,22.71,1.0490000000000002,1.009,5.31,34.12,7.4,28.39,60,73.0,1.5,Specific Gravity,All Grain,,20.0,1.077
6324,23.0,1.043,1.008,4.5,38.13,4.98,29.0,60,71.0,2.95,Specific Gravity,All Grain,0.35,21.5,1.048
6325,21.0,1.052,1.009,5.69,38.57,9.21,25.5,60,75.0,,Specific Gravity,BIAB,0.75,18.0,1.051
6326,10.0,1.05,1.012,5.09,51.75,6.11,14.2,60,70.0,3.0,Specific Gravity,All Grain,,20.0,1.054
6327,18.93,1.057,1.011,6.06,49.49,5.53,28.39,75,70.0,1.5,Specific Gravity,All Grain,0.35,20.0,1.042
6328,14.5,1.06,1.015,5.89,71.09,18.59,19.4,60,65.0,,Specific Gravity,BIAB,,,1.051
6329,10.0,1.051,1.01,5.39,27.05,12.19,15.0,80,65.0,4.0,Specific Gravity,All Grain,0.35,22.0,1.048
6330,20.0,1.0490000000000002,1.009,5.2,46.62,12.16,30.0,60,40.0,3.1,Specific Gravity,All Grain,,,1.031
6331,14.0,1.067,1.017,6.55,64.76,9.47,14.0,60,75.0,,Specific Gravity,extract,,,1.041
6332,20.82,1.05,1.013,4.95,35.45,6.93,28.39,60,60.0,1.5,Specific Gravity,All Grain,,,1.1
6333,20.82,1.052,1.011,5.31,70.04,8.59,28.39,90,35.0,1.5,Specific Gravity,All Grain,,18.33,1.111
6334,18.93,1.071,1.017,7.07,97.97,9.29,28.39,60,70.0,1.5,Specific Gravity,All Grain,,,1.028
6335,21.0,1.07,1.024,6.07,60.79,48.07,25.0,60,70.0,3.4,Specific Gravity,All Grain,1.0,20.0,1.045
6336,45.42,1.074,1.013,7.96,34.13,42.26,51.1,60,70.0,1.5,Specific Gravity,All Grain,,,1.048
6337,20.0,1.057,1.01,6.13,28.41,16.62,28.0,60,55.0,2.7,Specific Gravity,All Grain,,23.0,1.0490000000000002
6338,11.36,1.064,1.012,6.91,31.68,3.59,15.14,15,79.0,,Specific Gravity,BIAB,,18.33,1.052
6339,41.64,1.056,1.018,5.0,49.73,18.48,47.32,60,70.0,1.5,Specific Gravity,All Grain,,,1.039
6340,2112.26,12.8447,2.55653,5.51,63.8,4.6,1994.91,90,75.0,,Plato,All Grain,0.75,20.0,1.099
6341,24.61,1.052,1.01,5.59,12.26,6.79,11.36,60,70.0,,Specific Gravity,BIAB,1.25,21.11,1.039
6342,24.61,1.062,1.011,6.64,53.49,5.14,27.44,30,72.0,,Specific Gravity,BIAB,0.35,22.22,1.055
6343,20.0,1.075,1.021,7.05,40.39,22.09,28.0,60,75.0,3.0,Specific Gravity,All Grain,0.5,24.0,1.016
6344,246.05,1.051,1.015,4.76,40.76,4.14,359.61,90,80.0,1.5,Specific Gravity,All Grain,,,1.061
6345,18.93,1.055,1.015,5.21,34.46,10.66,23.66,60,35.0,,Specific Gravity,extract,0.35,20.0,1.0490000000000002
6346,3.0,1.069,1.02,6.34,46.33,23.8,3.8,30,25.0,,Specific Gravity,extract,,,1.043
6347,24.0,1.054,1.013,5.31,42.33,7.79,28.0,60,65.0,,Specific Gravity,BIAB,,,1.042
6348,30.28,1.051,1.01,5.46,30.86,5.94,41.64,60,60.0,1.5,Specific Gravity,All Grain,,,1.033
6349,37.85,1.035,1.009,3.45,2.3,3.16,39.75,0,70.0,1.5,Specific Gravity,All Grain,,,1.051
6350,50.01,1.041,1.009,4.21,27.69,4.3,64.05,75,68.0,1.5,Specific Gravity,All Grain,,20.0,1.043
6351,20.82,1.064,1.016,6.27,48.46,6.14,28.39,60,75.0,2.0,Specific Gravity,All Grain,,20.0,1.043
6352,22.71,1.052,1.013,5.23,33.09,6.35,26.5,90,65.0,1.25,Specific Gravity,All Grain,1.0,18.89,1.058
6353,41.64,1.048,1.011,4.83,39.4,8.51,49.21,60,77.0,1.0,Specific Gravity,All Grain,0.35,21.11,1.047
6354,55.0,1.056,1.009,6.17,50.84,4.47,63.0,90,82.0,3.0,Specific Gravity,All Grain,1.0,,1.045
6355,18.93,1.051,1.01,5.4,37.88,5.19,11.36,60,40.0,,Specific Gravity,Partial Mash,,,1.164
6356,20.82,1.077,1.02,7.44,108.8,4.55,28.39,90,74.0,1.5,Specific Gravity,All Grain,0.75,17.78,1.097
6357,20.82,1.067,1.013,7.07,83.77,9.39,9.84,60,25.0,,Specific Gravity,extract,0.35,20.0,1.047
6358,20.0,1.037,1.011,3.46,33.59,15.01,28.5,60,35.0,3.0,Specific Gravity,All Grain,,19.0,1.036
6359,53.0,1.052,1.01,5.56,35.4,7.07,43.53,60,56.0,,Specific Gravity,All Grain,,18.89,1.054
6360,24.61,1.064,1.018,6.1,52.84,4.24,28.39,60,75.0,1.5,Specific Gravity,All Grain,0.35,21.11,1.084
6361,22.71,1.057,1.01,6.23,21.07,23.87,34.07,60,70.0,1.5,Specific Gravity,All Grain,1.5,16.11,1.0490000000000002
6362,643.52,1.067,1.012,7.23,98.21,6.46,711.66,75,88.0,1.25,Specific Gravity,All Grain,0.75,20.0,1.053
6363,30.0,1.053,1.014,5.03,25.13,10.83,36.0,60,80.0,3.0,Specific Gravity,All Grain,0.35,,1.046
6364,22.71,1.065,1.015,6.56,101.76,10.66,17.03,60,75.0,,Specific Gravity,extract,,20.0,1.0490000000000002
6365,9.46,1.048,1.013,4.62,38.2,27.55,17.03,60,65.0,,Specific Gravity,BIAB,0.5,17.78,1.0490000000000002
6366,20.82,1.047,1.013,4.41,18.89,3.8,22.71,60,70.0,,Specific Gravity,Partial Mash,,,1.04
6367,22.71,1.077,1.016,7.99,27.59,10.0,32.18,60,68.0,1.25,Specific Gravity,All Grain,,21.11,1.0590000000000002
6368,18.93,1.081,1.02,7.95,178.93,6.86,24.61,90,75.0,1.5,Specific Gravity,All Grain,,22.22,1.041
6369,20.82,1.06,1.014,6.01,50.36,8.78,28.39,60,61.0,1.25,Specific Gravity,All Grain,,,1.098
6370,7.57,1.0590000000000002,1.013,6.14,58.37,4.41,9.73,60,78.0,,Specific Gravity,BIAB,0.5,20.0,1.031
6371,19.87,1.063,1.013,6.61,105.54,17.68,27.44,60,70.0,1.5,Specific Gravity,All Grain,,18.33,1.04
6372,20.82,1.052,1.012,5.2,34.46,7.65,28.39,60,65.0,1.33,Specific Gravity,All Grain,0.5,20.0,1.1
6373,20.82,1.06,1.015,5.88,28.01,10.19,32.18,60,65.0,2.0,Specific Gravity,All Grain,1.0,20.0,1.029
6374,18.93,1.056,1.014,5.55,35.31,21.17,11.36,60,35.0,,Specific Gravity,extract,,,1.046
6375,18.93,1.057,1.011,6.0,57.07,4.57,25.74,60,83.0,1.5,Specific Gravity,All Grain,0.35,20.0,1.048
6376,126.0,1.071,1.011,7.87,65.76,8.72,139.0,85,64.0,3.0,Specific Gravity,All Grain,,,1.042
6377,20.0,1.058,1.015,5.65,37.2,6.12,25.4,60,73.0,3.0,Specific Gravity,All Grain,0.75,19.0,1.06
6378,11.0,1.041,1.007,4.5,33.57,5.08,14.0,60,66.0,,Specific Gravity,BIAB,,20.0,1.073
6379,45.42,1.051,1.013,5.18,40.59,4.07,51.1,60,80.0,1.5,Specific Gravity,All Grain,0.75,20.0,1.044
6380,22.0,1.058,1.012,6.03,76.42,7.07,28.0,90,70.0,3.0,Specific Gravity,All Grain,,18.0,1.051
6381,20.82,1.061,1.013,6.29,72.21,4.39,24.61,75,75.0,1.5,Specific Gravity,All Grain,1.25,22.22,1.053
6382,22.71,1.062,1.014,6.26,60.66,6.61,30.28,90,75.0,1.5,Specific Gravity,All Grain,0.35,21.11,1.042
6383,20.82,1.045,1.01,4.6,54.33,11.65,28.39,60,47.0,1.5,Specific Gravity,All Grain,0.5,20.0,1.054
6384,32.18,1.056,1.013,5.6,0.0,3.61,39.37,60,75.0,1.5,Specific Gravity,All Grain,,,1.054
6385,17.03,1.073,1.019,7.12,73.9,4.68,24.61,60,75.0,,Specific Gravity,All Grain,,16.67,1.051
6386,25.0,1.047,1.01,4.81,36.43,8.27,29.5,60,70.0,,Specific Gravity,BIAB,,18.5,1.042
6387,41.64,1.042,1.01,4.22,21.28,4.3,51.82,60,73.0,1.33,Specific Gravity,All Grain,0.5,20.0,1.052
6388,20.82,1.056,1.013,5.7,34.19,13.71,28.39,60,65.0,1.5,Specific Gravity,All Grain,0.35,18.33,1.083
6389,35.0,1.06,1.012,6.25,26.5,4.77,42.0,60,75.0,3.0,Specific Gravity,All Grain,,19.0,1.045
6390,27.44,1.053,1.01,5.57,38.05,7.52,31.23,60,76.0,1.5,Specific Gravity,All Grain,,19.44,1.047
6391,20.0,1.0659999999999998,1.013,7.01,121.76,8.67,28.0,60,68.0,3.1,Specific Gravity,All Grain,1.0,19.0,1.2428501978518935
6392,50.0,1.057,1.01,6.28,34.51,5.22,65.0,60,70.0,3.0,Specific Gravity,All Grain,0.35,17.0,1.073
6393,26.0,1.06,1.01,6.55,61.76,8.44,33.0,90,64.0,3.0,Specific Gravity,All Grain,,16.0,1.037
6394,37.85,1.054,1.015,5.16,28.27,15.28,41.64,60,70.0,1.5,Specific Gravity,All Grain,0.5,18.33,1.053
6395,40.0,1.053,1.01,5.59,48.89,5.47,49.8,60,60.0,,Specific Gravity,BIAB,0.75,,1.045
6396,18.93,1.094,1.027,8.73,196.94,14.93,11.36,60,40.0,,Specific Gravity,extract,,,1.063
6397,3.79,1.224,1.056,22.05,0.0,0.0,4.73,60,70.0,1.5,Specific Gravity,All Grain,,,1.045
6398,480.0,1.067,1.013,7.15,80.2,32.89,490.0,90,75.0,2.5,Specific Gravity,All Grain,0.35,,1.102
6399,102.21,1.061,1.014,6.21,0.0,27.8,107.88,60,65.0,1.25,Specific Gravity,All Grain,,,1.058
6400,25.0,1.05,1.01,5.36,40.11,3.43,35.0,60,75.0,3.0,Specific Gravity,All Grain,0.0,0.0,1.036
6401,37.85,1.056,1.012,5.86,55.64,4.86,53.0,60,70.0,1.25,Specific Gravity,All Grain,,,1.0490000000000002
6402,18.93,1.05,1.009,5.3,0.0,13.3,22.71,60,75.0,,Specific Gravity,extract,,,1.133
6403,21.0,1.055,1.011,5.9,33.55,15.79,28.5,60,65.0,3.0,Specific Gravity,All Grain,,,1.027
6404,20.82,1.061,1.011,6.51,77.35,4.57,13.25,60,40.0,,Specific Gravity,Partial Mash,,20.0,1.081
6405,19.87,1.027,1.005,2.94,41.24,7.75,23.66,60,35.0,1.5,Specific Gravity,All Grain,,18.33,1.031
6406,20.82,1.047,1.012,4.59,34.32,5.18,28.39,60,75.0,1.5,Specific Gravity,All Grain,,,1.044
6407,20.82,1.064,1.018,6.04,77.09,15.25,30.28,60,60.0,1.25,Specific Gravity,All Grain,,,1.043
6408,41.64,1.064,1.015,6.49,60.16,4.9,56.78,60,80.0,1.3,Specific Gravity,All Grain,1.0,20.0,1.088
6409,23.0,1.054,1.012,5.51,45.6,4.57,30.0,60,82.0,3.0,Specific Gravity,All Grain,,19.0,1.04
6410,23.0,1.058,1.01,6.34,78.4,10.17,12.0,60,35.0,,Specific Gravity,Partial Mash,0.35,20.0,1.041
6411,21.0,1.044,1.011,4.35,12.37,6.25,28.5,60,58.0,3.0,Specific Gravity,All Grain,,,1.043
6412,12.5,1.0490000000000002,1.007,5.55,22.0,15.3,14.0,60,65.0,,Specific Gravity,BIAB,,28.0,1.058
6413,21.0,1.098,1.025,9.68,100.56,12.29,28.5,60,75.0,3.0,Specific Gravity,All Grain,,,1.069
6414,5.81,1.046,1.011,4.49,9.2,3.06,3.49,60,75.0,,Specific Gravity,Partial Mash,,,1.061
6415,23.0,1.047,1.009,5.04,22.02,11.4,12.0,60,35.0,,Specific Gravity,BIAB,,,1.05
6416,20.82,1.062,1.014,6.25,23.02,6.75,28.39,60,70.0,1.5,Specific Gravity,All Grain,1.0,19.44,1.2428501978518935
6417,23.0,13.0098,3.49397,5.11,52.43,7.98,30.0,60,70.0,4.8,Plato,All Grain,,,1.121
6418,18.93,1.058,1.016,5.49,101.46,7.32,22.71,60,70.0,,Specific Gravity,Partial Mash,,,1.03
6419,20.82,1.053,1.009,5.84,45.08,9.53,15.14,60,70.0,,Specific Gravity,Partial Mash,,15.56,1.2661630837657525
6420,28.0,1.048,1.008,5.21,33.75,4.17,35.0,60,70.0,3.0,Specific Gravity,All Grain,0.5,20.0,1.034
6421,17.79,1.061,1.012,6.53,53.56,8.49,20.82,30,35.0,,Specific Gravity,extract,,20.0,1.053
6422,20.82,1.07,1.017,6.88,80.49,10.32,28.39,60,65.0,1.5,Specific Gravity,All Grain,0.35,21.11,1.045
6423,23.0,1.0490000000000002,1.009,5.22,27.03,4.94,30.0,60,75.0,3.0,Specific Gravity,All Grain,,21.0,1.038
