Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,Style,BoilGravityMod,PrimaryTempMod
13048,20.82,1.051,1.013,5.06,24.6,11.85,28.39,60,70.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.038,18.723183391003463
13049,24.61,1.0490000000000002,1.011,5.0,83.2,6.03,30.28,60,75.0,,Specific Gravity,BIAB,,American Pale Ale,1.04,18.33
13050,12.0,1.06,1.01,6.53,48.14,7.28,12.0,60,66.0,,Specific Gravity,BIAB,,American IPA,1.06,21.0
13051,10.0,1.058,1.016,5.54,20.93,5.65,15.5,70,70.0,2.9,Specific Gravity,All Grain,,Witbier,1.038,20.0
13052,41.64,1.051,1.01,5.41,30.49,5.41,53.0,90,77.0,1.5,Specific Gravity,All Grain,0.75,American Pale Ale,1.04,20.0
13053,20.0,1.054,1.013,5.5,18.06,4.38,28.5,60,70.0,,Specific Gravity,All Grain,0.75,Witbier,1.038,20.0
13054,62.0,1.051,1.011,5.26,29.47,3.08,75.0,60,80.0,3.0,Specific Gravity,All Grain,0.75,Blonde Ale,1.042,19.0
13055,21.77,14.4481,3.8952,5.71,46.28,5.38,26.5,60,71.0,1.5,Plato,All Grain,,American IPA,12.0,19.44
13056,26.5,1.05,1.014,4.8,17.75,11.83,34.07,60,80.0,1.5,Specific Gravity,All Grain,1.0,Irish Red Ale,1.039,18.33
13057,20.82,1.062,1.017,5.9,62.79,6.94,24.61,60,71.0,,Specific Gravity,All Grain,0.35,American Pale Ale,1.3286333398552141,18.33
13058,27.0,1.045,1.01,4.66,15.42,2.88,35.0,70,75.0,3.4,Specific Gravity,All Grain,,American Light Lager,1.035,18.723183391003463
13059,42.0,1.08,1.018,8.05,226.28,6.16,52.0,90,65.0,4.6,Specific Gravity,All Grain,1.0,American IPA,1.064,19.0
13060,19.87,1.063,1.015,6.34,61.56,8.35,28.39,90,68.0,1.2,Specific Gravity,All Grain,,American IPA,1.044,17.22
13061,20.82,1.069,1.016,6.89,55.66,10.58,29.15,60,70.0,,Specific Gravity,BIAB,0.35,American Pale Ale,1.0490000000000002,20.0
13062,37.85,1.064,1.017,6.2,64.67,3.91,34.07,60,70.0,1.2,Specific Gravity,All Grain,,American IPA,1.071,19.576690909090907
13063,43.53,1.062,1.011,6.7,57.03,6.41,56.78,60,74.0,,Specific Gravity,BIAB,0.5,American IPA,1.047,20.0
13064,11.36,1.065,1.018,6.17,60.05,11.61,18.93,60,35.0,,Specific Gravity,extract,0.35,American IPA,1.039,20.0
13065,9.46,1.057,1.014,5.6,23.07,13.29,13.63,60,70.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.039,18.723183391003463
13066,37.85,1.068,1.017,6.71,0.0,8.76,45.42,60,85.0,1.5,Specific Gravity,All Grain,1.0,American Pale Ale,1.057,20.0
13067,41.64,1.054,1.014,5.32,72.38,4.52,49.21,90,65.0,,Specific Gravity,All Grain,0.35,American Pale Ale,1.046,19.508305489260145
13068,20.82,1.058,1.01,6.21,106.64,7.01,28.39,60,65.0,1.35,Specific Gravity,All Grain,1.25,American IPA,1.042,19.44
13069,18.93,1.045,1.01,4.65,20.78,15.82,18.93,60,70.0,,Specific Gravity,Partial Mash,0.35,American Amber Ale,1.045,16.67
13070,20.82,1.068,1.013,7.19,87.08,7.31,29.34,60,70.0,,Specific Gravity,BIAB,0.75,American IPA,1.048,18.33
13071,20.82,1.044,1.01,4.55,22.41,6.01,17.03,60,70.0,1.41,Specific Gravity,All Grain,0.35,Blonde Ale,1.054,19.237696693272518
13072,24.61,1.0490000000000002,1.006,5.68,21.69,3.59,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.75,Saison,1.042,22.531239349341597
13073,18.93,1.072,1.016,7.32,0.0,5.61,22.71,60,75.0,,Specific Gravity,BIAB,,American IPA,1.06,19.576690909090907
13074,65.0,1.048,1.008,5.28,18.78,5.41,70.7,60,75.0,3.0,Specific Gravity,All Grain,,Blonde Ale,1.044,22.0
13075,60.57,1.0590000000000002,1.017,5.59,25.59,15.0,66.24,60,70.0,1.25,Specific Gravity,All Grain,,Irish Red Ale,1.054,18.33
13076,9.0,1.045,1.009,4.7,24.14,15.69,6.0,60,70.0,,Specific Gravity,BIAB,0.75,Irish Red Ale,1.068,17.0
13077,20.82,1.058,1.014,5.68,35.95,23.08,24.34,90,70.0,1.5,Specific Gravity,All Grain,0.75,American Brown Ale,1.0490000000000002,15.56
13078,23.0,1.046,1.009,4.88,33.06,6.32,11.4,60,35.0,,Specific Gravity,extract,,American Pale Ale,1.05,18.0
13079,18.0,1.048,1.008,5.21,30.54,8.28,11.0,60,70.0,,Specific Gravity,Partial Mash,0.35,American Pale Ale,1.078,18.0
13080,25.0,1.046,1.008,5.03,18.2,5.53,28.0,65,58.0,3.85,Specific Gravity,All Grain,0.75,Witbier,1.041,21.0
13081,11.0,1.056,1.014,5.6,28.51,3.2,11.0,60,78.0,,Specific Gravity,BIAB,0.75,American IPA,1.056,19.0
13082,18.93,1.052,1.014,4.96,21.22,10.26,11.36,60,85.0,,Specific Gravity,extract,0.35,Irish Red Ale,1.086,20.0
13083,20.0,1.06,1.01,6.52,53.64,4.32,28.5,80,75.0,3.0,Specific Gravity,All Grain,,American IPA,1.042,17.0
13084,20.82,1.062,1.018,5.72,122.75,6.69,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,American IPA,1.045,22.22
13085,45.0,1.051,1.014,4.92,23.74,9.5,49.0,60,75.0,3.5,Specific Gravity,All Grain,,American Pale Ale,1.047,22.0
13086,20.82,1.064,1.012,6.78,69.05,9.34,24.61,60,35.0,,Specific Gravity,extract,,American IPA,1.054,21.11
13087,24.61,1.051,1.011,5.27,23.26,5.32,30.28,60,78.0,1.75,Specific Gravity,All Grain,1.0,Blonde Ale,1.041,16.67
13088,20.82,1.064,1.017,6.11,46.04,9.09,30.28,90,70.0,1.5,Specific Gravity,All Grain,,American Pale Ale,1.044,18.33
13089,22.71,1.069,1.018,6.77,80.82,5.39,26.5,60,75.0,1.5,Specific Gravity,All Grain,,American IPA,1.0590000000000002,20.0
13090,21.0,1.044,1.012,4.29,31.7,7.6,28.5,70,70.0,5.0,Specific Gravity,All Grain,0.35,American Pale Ale,1.033,20.0
13091,21.0,1.042,1.01,4.11,58.64,3.84,11.0,60,35.0,,Specific Gravity,extract,0.35,American IPA,1.08,20.0
13092,45.42,1.044,1.01,4.42,20.99,3.73,50.88,90,75.0,,Specific Gravity,BIAB,0.5,Blonde Ale,1.039,20.0
13093,22.71,1.06,1.014,5.99,59.11,6.77,33.12,60,65.0,,Specific Gravity,BIAB,0.5,American Pale Ale,1.041,20.0
13094,14.0,1.062,1.015,6.08,0.0,4.05,17.0,60,70.0,3.0,Specific Gravity,All Grain,,American Light Lager,1.051,18.723183391003463
13095,54.0,1.072,1.006,8.64,32.55,5.41,63.0,70,84.0,3.0,Specific Gravity,All Grain,,Saison,1.062,19.0
13096,18.93,1.052,1.01,5.56,37.83,9.07,11.36,60,65.0,,Specific Gravity,extract,,American Pale Ale,1.087,18.33
13097,20.82,1.08,1.02,7.84,134.09,18.45,28.39,60,70.0,1.5,Specific Gravity,All Grain,1.0,Imperial IPA,1.058,19.67822751322751
13098,18.93,1.077,1.024,6.99,100.78,8.05,26.5,60,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.055,19.576690909090907
13099,20.82,1.061,1.011,6.56,58.28,7.11,28.39,60,70.0,,Specific Gravity,BIAB,,American IPA,1.045,21.11
13100,20.0,1.058,1.014,5.78,27.83,25.74,26.0,90,70.0,3.0,Specific Gravity,All Grain,,American Brown Ale,1.045,21.0
13101,20.82,1.077,1.019,7.66,49.43,6.54,28.39,60,75.0,1.25,Specific Gravity,All Grain,,American IPA,1.057,17.78
13102,10.41,1.045,1.009,4.65,21.56,4.0,13.14,60,70.0,,Specific Gravity,BIAB,0.35,Blonde Ale,1.035,20.0
13103,550.0,1.051,1.011,5.26,46.88,4.69,557.7,60,92.0,3.0,Specific Gravity,All Grain,0.35,Blonde Ale,1.051,20.0
13104,370.97,1.043,1.011,4.23,43.05,3.08,416.4,75,75.0,1.3,Specific Gravity,All Grain,,American IPA,1.038,19.576690909090907
13105,17.03,1.047,1.011,4.68,17.46,3.93,11.36,60,50.0,,Specific Gravity,Partial Mash,,Witbier,1.07,20.0
13106,18.93,1.045,1.008,4.89,33.1,7.3,26.5,60,73.0,1.5,Specific Gravity,All Grain,0.35,American Pale Ale,1.032,20.0
13107,2.0,1.048,1.009,5.11,21.73,5.25,2.7,60,75.0,,Specific Gravity,BIAB,,American Light Lager,1.035,18.0
13108,20.82,1.0490000000000002,1.01,5.21,64.89,3.34,32.18,90,75.0,,Specific Gravity,BIAB,2.0,Imperial IPA,1.032,20.0
13109,20.82,1.055,1.014,5.38,48.68,21.14,20.82,60,35.0,,Specific Gravity,extract,0.75,American Brown Ale,1.037,18.89
13110,3.79,1.046,1.012,4.55,0.0,11.65,3.79,60,70.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.046,18.723183391003463
13111,21.0,1.073,1.018,7.2,71.24,11.67,28.5,60,75.0,3.0,Specific Gravity,All Grain,,American Pale Ale,1.054,19.508305489260145
13112,18.93,1.0659999999999998,1.016,6.47,62.56,14.07,28.39,60,75.0,,Specific Gravity,All Grain,,American Amber Ale,1.044,19.650700308959838
13113,12.3,1.062,1.014,6.37,57.31,14.22,15.14,60,75.0,1.31,Specific Gravity,All Grain,,American IPA,1.051,19.576690909090907
13114,15.14,1.052,1.006,6.02,38.33,4.35,22.71,60,65.0,,Specific Gravity,BIAB,0.5,Saison,1.032,21.11
13115,12.0,1.055,1.013,5.42,57.61,7.01,9.0,60,35.0,,Specific Gravity,Partial Mash,,American IPA,1.073,25.0
13116,18.93,1.068,1.016,6.85,70.41,6.74,24.61,60,75.0,1.3,Specific Gravity,All Grain,0.75,American IPA,1.053,18.89
13117,22.71,1.061,1.016,5.95,59.32,13.45,28.39,60,68.0,1.25,Specific Gravity,All Grain,,American Amber Ale,1.0490000000000002,19.650700308959838
13118,9.46,1.09,1.015,9.79,354.64,11.65,17.03,90,70.0,,Specific Gravity,All Grain,1.25,Imperial IPA,1.4894584221748401,21.11
13119,11.36,1.0590000000000002,1.015,5.82,43.85,6.94,17.03,90,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.039,19.576690909090907
13120,17.03,1.0590000000000002,1.011,6.35,0.0,17.05,28.39,60,75.0,1.5,Specific Gravity,All Grain,1.25,Saison,1.036,26.67
13121,60.57,1.045,1.009,4.81,17.47,4.61,71.92,60,80.0,1.5,Specific Gravity,All Grain,,Blonde Ale,1.038,19.237696693272518
13122,20.82,1.06,1.015,5.91,49.0,9.8,26.5,60,78.0,,Specific Gravity,BIAB,,American Pale Ale,1.047,19.508305489260145
13123,45.42,1.0590000000000002,1.013,5.96,75.95,6.18,52.05,60,60.0,2.43,Specific Gravity,All Grain,,American IPA,1.051,19.576690909090907
13124,20.82,1.057,1.013,5.79,30.17,9.46,28.39,60,75.0,1.5,Specific Gravity,All Grain,0.5,American Pale Ale,1.042,19.508305489260145
13125,20.82,1.085,1.018,8.75,64.01,10.85,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.35,American IPA,1.062,20.0
13126,17.0,1.042,1.007,4.55,41.82,5.87,28.5,60,56.0,3.75,Specific Gravity,All Grain,,American Pale Ale,1.025,18.0
13127,20.82,1.073,1.016,7.49,114.38,11.8,28.39,90,75.0,,Specific Gravity,BIAB,0.75,American Amber Ale,1.054,19.650700308959838
13128,21.5,1.05,1.009,5.38,18.32,5.82,26.0,90,70.0,,Specific Gravity,BIAB,,American Pale Ale,1.041,18.0
13129,20.82,1.065,1.013,6.9,69.11,6.23,30.28,60,70.0,1.5,Specific Gravity,All Grain,0.35,American IPA,1.045,20.0
13130,18.93,1.064,1.011,6.96,44.76,4.79,24.79,60,84.0,1.5,Specific Gravity,All Grain,,American Pale Ale,1.0490000000000002,21.11
13131,21.0,1.053,1.013,5.26,19.78,14.33,28.5,60,67.0,,Specific Gravity,BIAB,,Irish Red Ale,1.039,19.262037037037036
13132,42.0,1.055,1.011,5.69,75.39,12.82,48.0,60,64.0,3.0,Specific Gravity,All Grain,,Imperial IPA,1.048,20.0
13133,20.0,1.0590000000000002,1.012,6.12,32.27,3.96,26.0,60,78.0,2.5,Specific Gravity,All Grain,,Saison,1.045,21.0
13134,43.53,1.043,1.012,4.08,14.53,5.1,51.1,60,70.0,1.75,Specific Gravity,All Grain,,Blonde Ale,1.037,16.67
13135,20.82,1.058,1.011,6.19,64.15,6.22,28.39,60,75.0,,Specific Gravity,All Grain,0.75,American IPA,1.043,19.576690909090907
13136,18.93,1.048,1.011,4.8,43.91,5.89,28.39,60,70.0,,Specific Gravity,All Grain,,American Pale Ale,1.032,19.508305489260145
13137,21.0,1.056,1.014,5.46,41.74,7.21,27.0,60,75.0,5.0,Specific Gravity,All Grain,1.0,American Pale Ale,1.043,29.0
13138,3.22,1.05,1.014,4.75,44.19,5.22,3.79,15,25.0,,Specific Gravity,extract,,American Pale Ale,1.043,15.56
13139,20.82,1.051,1.009,5.55,60.49,8.08,30.28,60,70.0,,Specific Gravity,BIAB,,American IPA,1.035,18.89
13140,16.0,1.052,1.013,5.06,13.73,3.45,19.0,60,70.0,,Specific Gravity,BIAB,0.5,Witbier,1.044,20.0
13141,145.74,1.056,1.013,5.63,35.88,27.67,151.42,60,80.0,1.5,Specific Gravity,All Grain,0.75,American Brown Ale,1.054,18.33
13142,24.23,1.077,1.018,7.72,68.9,4.24,30.28,60,75.0,1.5,Specific Gravity,All Grain,0.5,American IPA,1.061,18.33
13143,22.7,1.071,1.017,7.13,85.41,13.25,32.2,60,70.0,3.0,Specific Gravity,All Grain,,Imperial IPA,1.05,66.0
13144,26.5,1.068,1.012,7.47,69.48,11.27,30.28,60,75.0,1.5,Specific Gravity,All Grain,0.5,American IPA,1.06,19.576690909090907
13145,20.82,1.053,1.013,5.32,17.81,4.06,28.39,60,75.0,,Specific Gravity,BIAB,0.35,Witbier,1.039,22.22
13146,20.82,1.061,1.015,6.1,39.56,8.2,24.61,60,75.0,2.75,Specific Gravity,All Grain,0.5,American Pale Ale,1.052,20.0
13147,18.93,1.068,1.02,6.34,81.53,7.68,30.28,75,75.0,1.5,Specific Gravity,All Grain,,American IPA,1.043,19.44
13148,18.93,1.022,1.005,2.16,18.22,16.93,11.36,30,35.0,,Specific Gravity,extract,,American Amber Ale,1.037,16.67
13149,20.82,1.073,1.02,6.95,70.97,4.91,28.39,60,70.0,,Specific Gravity,All Grain,,American IPA,1.054,19.576690909090907
13150,18.93,1.088,1.021,8.8,157.62,9.9,28.39,60,70.0,1.25,Specific Gravity,All Grain,0.75,Imperial IPA,1.058,20.0
13151,18.93,1.099,1.023,9.87,131.96,41.91,24.61,60,75.0,1.3,Specific Gravity,All Grain,,American Light Lager,1.0759999999999998,20.0
13152,18.93,1.064,1.015,6.39,61.02,9.78,11.36,60,35.0,,Specific Gravity,extract,0.75,American IPA,1.106,21.11
13153,20.82,1.039,1.005,4.45,25.83,3.63,26.5,60,70.0,2.0,Specific Gravity,All Grain,0.75,Saison,1.03,24.44
13154,20.0,1.057,1.012,5.81,54.81,4.06,23.0,60,75.0,3.0,Specific Gravity,All Grain,,American IPA,1.0490000000000002,19.0
13155,18.93,1.062,1.014,6.3,0.0,28.9,26.5,60,65.0,,Specific Gravity,All Grain,,American IPA,1.3408930163447252,19.576690909090907
13156,20.82,1.051,1.014,4.86,73.37,6.59,26.5,60,65.0,1.3,Specific Gravity,All Grain,,American IPA,1.04,20.0
13157,3.79,1.051,1.012,5.13,22.53,7.52,8.52,60,70.0,1.0,Specific Gravity,All Grain,0.35,American Pale Ale,1.023,21.11
13158,18.93,1.08,1.025,7.28,78.86,16.2,24.61,60,80.0,1.5,Specific Gravity,All Grain,,American IPA,1.062,19.576690909090907
13159,21.0,1.053,1.01,5.58,47.99,5.53,32.0,60,70.0,,Specific Gravity,BIAB,,American Pale Ale,1.035,18.0
13160,3.79,1.048,1.01,4.87,32.94,13.57,4.73,60,65.0,1.3,Specific Gravity,All Grain,,American Pale Ale,1.038,19.508305489260145
13161,18.93,1.063,1.015,6.26,81.71,21.59,22.71,75,56.0,1.5,Specific Gravity,All Grain,,American Brown Ale,1.052,20.0
13162,23.66,1.057,1.012,5.85,60.14,7.06,26.5,60,75.0,,Specific Gravity,BIAB,0.75,American IPA,1.051,18.33
13163,9.0,1.057,1.013,5.75,70.26,50.0,10.0,60,50.0,,Specific Gravity,BIAB,0.35,American Stout,1.051,10.0
13164,18.93,1.061,1.021,5.31,16.09,41.7,22.71,60,35.0,,Specific Gravity,extract,1.0,American Stout,1.051,17.22
13165,24.0,1.048,1.01,4.95,37.37,5.59,29.0,60,70.0,3.0,Specific Gravity,All Grain,0.75,American Pale Ale,1.039,20.0
13166,18.93,1.05,1.008,5.48,24.99,5.1,11.36,45,72.0,,Specific Gravity,Partial Mash,0.35,Blonde Ale,1.084,19.44
13167,18.0,1.061,1.012,6.53,39.69,6.77,28.5,60,65.0,3.0,Specific Gravity,All Grain,,American IPA,1.039,19.576690909090907
13168,20.82,1.055,1.01,5.95,42.1,10.28,28.39,60,70.0,,Specific Gravity,BIAB,0.35,American Pale Ale,1.04,20.0
13169,20.06,1.067,1.016,6.68,43.18,33.63,22.71,60,73.0,1.45,Specific Gravity,All Grain,0.5,American Stout,1.0590000000000002,18.33
13170,22.71,1.069,1.016,6.94,62.87,16.9,30.28,60,75.0,,Specific Gravity,BIAB,1.0,American Amber Ale,1.052,16.67
13171,10.79,1.063,1.011,6.87,51.0,6.01,17.03,60,70.0,1.25,Specific Gravity,All Grain,,American Pale Ale,1.04,19.508305489260145
13172,20.82,1.0490000000000002,1.011,5.09,25.18,5.79,26.5,60,75.0,,Specific Gravity,BIAB,0.75,Blonde Ale,1.03,17.78
13173,20.82,1.0659999999999998,1.016,6.59,51.09,9.37,30.28,60,70.0,,Specific Gravity,BIAB,,American IPA,1.046,19.576690909090907
13174,18.0,1.062,1.014,6.38,64.52,6.0,28.5,90,65.0,3.0,Specific Gravity,All Grain,,American IPA,1.039,19.576690909090907
13175,21.0,1.0590000000000002,1.011,6.29,46.67,8.98,28.5,60,80.0,3.0,Specific Gravity,All Grain,,American IPA,1.043,20.0
13176,22.71,1.052,1.015,4.75,26.3,21.66,26.5,60,65.0,1.5,Specific Gravity,All Grain,,American Brown Ale,1.044,19.499524680073122
13177,37.85,1.064,1.015,6.36,55.83,4.37,45.42,60,85.0,1.5,Specific Gravity,All Grain,0.75,American Pale Ale,1.053,20.0
13178,19.87,1.064,1.014,6.61,89.45,9.82,29.75,60,67.0,1.5,Specific Gravity,All Grain,1.0,American IPA,1.043,20.56
13179,18.93,1.061,1.012,6.5,80.02,8.02,24.61,60,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.047,19.576690909090907
13180,19.0,1.056,1.012,5.76,64.39,4.33,7.0,60,35.0,,Specific Gravity,extract,,American IPA,1.027,19.576690909090907
13181,20.82,1.067,1.017,6.52,65.8,5.37,28.39,60,70.0,1.25,Specific Gravity,All Grain,0.75,American IPA,1.0490000000000002,18.33
13182,18.93,1.069,1.009,7.86,0.0,17.23,18.93,60,75.0,,Specific Gravity,Partial Mash,,American IPA,1.3408930163447252,19.576690909090907
13183,30.0,1.047,1.008,5.17,53.74,6.22,28.0,60,70.0,,Specific Gravity,BIAB,,American IPA,1.051,19.576690909090907
13184,19.87,1.07,1.012,7.64,50.44,6.79,24.61,60,75.0,,Specific Gravity,BIAB,1.0,American IPA,1.057,19.576690909090907
13185,13.25,1.048,1.006,5.58,51.3,4.09,17.03,90,62.0,1.5,Specific Gravity,All Grain,0.5,Saison,1.038,21.67
13186,18.93,1.072,1.019,6.95,63.17,6.07,26.5,60,70.0,,Specific Gravity,BIAB,0.5,American IPA,1.051,22.22
13187,19.87,1.067,1.014,6.94,64.47,11.37,11.36,75,70.0,,Specific Gravity,Partial Mash,0.5,American IPA,1.11,20.0
13188,9.46,1.052,1.009,5.59,40.71,5.87,13.25,60,76.0,,Specific Gravity,All Grain,1.25,American Pale Ale,1.037,16.67
13189,40.0,1.058,1.011,6.07,29.7,16.64,45.0,70,60.0,3.1,Specific Gravity,All Grain,,Irish Red Ale,1.051,19.0
13190,18.93,1.053,1.009,5.67,37.07,12.48,28.39,60,70.0,,Specific Gravity,BIAB,,American Amber Ale,1.035,18.33
13191,43.53,1.048,1.012,4.8,42.11,4.44,50.16,60,89.0,1.35,Specific Gravity,All Grain,0.35,American Pale Ale,1.042,17.78
13192,15.14,1.046,1.009,4.76,49.76,3.59,18.93,60,60.0,1.5,Specific Gravity,All Grain,,American Pale Ale,1.036,21.11
13193,22.71,1.084,1.021,8.22,68.1,8.32,28.39,60,70.0,,Specific Gravity,All Grain,1.25,Imperial IPA,1.067,20.0
13194,28.0,1.067,1.019,6.4,32.13,8.4,29.0,75,87.5,3.0,Specific Gravity,All Grain,1.0,American IPA,1.065,19.0
13195,4.0,1.058,1.01,6.31,66.47,8.25,7.0,60,70.0,3.1,Specific Gravity,All Grain,,American IPA,1.033,20.0
13196,17.98,1.057,1.006,6.66,18.51,3.87,26.5,90,75.0,1.3,Specific Gravity,All Grain,0.75,Saison,1.039,22.531239349341597
13197,20.82,1.078,1.018,7.92,101.91,10.89,26.5,60,65.0,,Specific Gravity,BIAB,,American IPA,1.3408930163447252,19.576690909090907
13198,23.66,1.056,1.007,6.49,69.55,8.45,27.44,60,65.0,1.33,Specific Gravity,All Grain,0.5,American IPA,1.048,21.11
13199,20.82,1.056,1.007,6.42,27.05,4.08,26.5,60,70.0,,Specific Gravity,BIAB,,Saison,1.044,17.78
13200,9.46,1.073,1.019,7.1,32.87,7.87,7.57,60,35.0,,Specific Gravity,extract,,Saison,1.091,22.531239349341597
13201,20.82,1.051,1.012,5.15,47.74,7.15,28.39,60,70.0,,Specific Gravity,BIAB,0.75,American IPA,1.038,20.0
13202,18.9,1.0590000000000002,1.011,6.2,28.15,5.54,24.6,60,70.0,3.1,Specific Gravity,All Grain,0.5,Saison,1.045,20.0
13203,17.03,1.082,1.019,8.23,96.89,5.85,11.36,60,35.0,,Specific Gravity,Partial Mash,0.5,American IPA,1.123,25.56
13204,22.33,1.053,1.013,5.26,29.98,12.12,22.71,60,35.0,,Specific Gravity,extract,,American Amber Ale,1.053,19.650700308959838
13205,20.82,1.054,1.013,5.44,33.7,10.66,28.39,60,70.0,1.5,Specific Gravity,All Grain,0.5,American Pale Ale,1.04,20.0
13206,19.87,1.065,1.015,6.55,76.15,6.83,27.14,60,75.0,1.5,Specific Gravity,All Grain,,American IPA,1.048,19.576690909090907
13207,13.25,1.107,1.023,10.96,72.97,50.0,26.5,90,80.0,,Specific Gravity,BIAB,0.35,American Stout,1.053,20.0
13208,20.82,1.062,1.012,6.49,22.53,5.75,28.39,60,70.0,1.5,Specific Gravity,All Grain,,Saison,1.045,22.531239349341597
13209,20.82,1.0490000000000002,1.012,4.82,34.46,18.78,28.39,60,65.0,,Specific Gravity,All Grain,0.75,American Amber Ale,1.036,18.33
13210,26.5,1.11,1.028,10.83,0.0,7.17,18.93,60,75.0,,Specific Gravity,All Grain,,American IPA,1.3408930163447252,19.576690909090907
13211,5.0,1.062,1.011,6.79,86.35,12.86,7.0,60,80.0,,Specific Gravity,BIAB,,American IPA,1.045,20.0
13212,41.64,1.078,1.015,8.23,121.91,9.5,49.21,60,85.0,1.25,Specific Gravity,All Grain,0.75,American IPA,1.0659999999999998,18.89
13213,22.71,1.065,1.015,6.58,59.37,6.4,28.77,75,75.0,,Specific Gravity,BIAB,0.75,American IPA,1.051,20.0
13214,20.82,1.045,1.01,4.56,31.48,3.4,28.39,60,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.033,19.576690909090907
13215,10.79,1.07,1.02,6.56,47.84,6.72,13.25,60,70.0,,Specific Gravity,BIAB,,American IPA,1.057,19.576690909090907
13216,174.13,1.064,1.014,6.54,23.35,16.11,189.27,60,70.0,1.15,Specific Gravity,All Grain,0.35,Irish Red Ale,1.0590000000000002,19.262037037037036
13217,21.77,1.057,1.011,6.02,22.25,6.38,28.39,60,70.0,1.5,Specific Gravity,All Grain,,Saison,1.044,22.531239349341597
13218,18.93,1.09,1.021,9.0,192.22,13.15,11.36,60,35.0,,Specific Gravity,extract,,Imperial IPA,1.149,19.67822751322751
13219,18.5,1.054,1.01,5.83,51.18,9.05,23.0,70,58.0,,Specific Gravity,BIAB,,American IPA,1.044,17.0
13220,22.71,1.0659999999999998,1.01,7.39,87.08,8.62,28.39,60,72.0,1.5,Specific Gravity,All Grain,0.75,Imperial IPA,1.053,20.0
13221,37.85,1.061,1.021,5.35,43.95,8.14,49.21,90,70.0,1.25,Specific Gravity,All Grain,,American IPA,1.047,18.33
13222,20.0,1.048,1.005,5.6,24.42,4.28,25.0,60,75.0,5.0,Specific Gravity,All Grain,,Saison,1.038,30.0
13223,7.0,1.127,1.029,12.78,101.43,50.0,7.7,60,70.0,,Specific Gravity,All Grain,,Imperial IPA,1.115,20.0
13224,3.79,1.074,1.014,7.92,132.48,5.47,4.73,60,75.0,,Specific Gravity,All Grain,0.5,American Light Lager,1.06,22.78
13225,22.0,1.0590000000000002,1.008,6.69,20.34,7.3,28.0,60,70.0,2.98,Specific Gravity,All Grain,0.35,Saison,1.046,21.0
13226,21.0,1.011,1.003,1.1,0.0,0.49,11.0,60,70.0,,Specific Gravity,Partial Mash,,American Light Lager,1.021,18.723183391003463
13227,20.82,1.055,1.013,5.48,35.36,14.32,27.44,60,68.0,1.33,Specific Gravity,All Grain,0.75,American Amber Ale,1.042,19.44
13228,18.93,1.085,1.024,8.02,28.44,18.78,30.28,90,91.0,,Specific Gravity,BIAB,2.0,Irish Red Ale,1.053,18.89
13229,20.82,1.0490000000000002,1.015,4.4,57.43,14.34,9.46,60,70.0,,Specific Gravity,Partial Mash,1.0,American Amber Ale,1.107,20.0
13230,41.64,1.062,1.019,5.67,63.85,10.59,45.42,60,70.0,1.5,Specific Gravity,All Grain,,American IPA,1.057,21.11
13231,86.0,1.043,1.011,4.2,34.47,5.89,91.4,60,70.0,3.0,Specific Gravity,All Grain,0.35,Blonde Ale,1.04,21.0
13232,12.87,1.043,1.008,4.5,25.77,13.53,16.09,60,65.0,,Specific Gravity,BIAB,0.5,American Amber Ale,1.034,20.0
13233,19.0,1.04,1.009,4.05,20.47,3.75,24.0,60,75.0,2.5,Specific Gravity,All Grain,,Blonde Ale,1.032,22.0
13234,20.82,1.0590000000000002,1.011,6.25,102.88,10.61,22.71,60,25.0,,Specific Gravity,extract,0.35,American IPA,1.054,19.44
13235,24.0,1.046,1.014,4.21,29.41,9.29,28.5,75,72.0,5.0,Specific Gravity,All Grain,,American Pale Ale,1.039,20.0
13236,13.0,1.057,1.012,5.93,41.7,7.87,17.5,60,70.0,,Specific Gravity,BIAB,,American Pale Ale,1.043,19.508305489260145
13237,2300.0,1.057,1.011,6.05,45.88,7.67,2800.0,60,73.0,,Specific Gravity,All Grain,0.75,American IPA,1.047,20.0
13238,20.0,1.054,1.008,6.01,74.56,4.99,28.5,60,70.0,1.5,Specific Gravity,All Grain,0.5,Saison,1.038,22.0
13239,20.82,1.083,1.023,8.51,141.89,8.76,22.71,60,58.0,,Specific Gravity,extract,0.35,Imperial IPA,1.036,20.56
13240,7.0,1.085,1.021,8.36,95.24,8.7,11.0,60,70.0,,Specific Gravity,BIAB,,Imperial IPA,1.4894584221748401,19.67822751322751
13241,20.8,1.063,1.011,6.8,28.66,6.72,28.4,60,70.0,3.1,Specific Gravity,All Grain,0.35,Saison,1.046,22.0
